# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
"# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); "
"# UG       = Etmaalgemiddelde relatieve vochtigheid (in procenten); "
# 
# STN,YYYYMMDD,   UG
# 
  260,20180101,   84
  260,20180102,   88
  260,20180103,   73
  260,20180104,   82
  260,20180105,   87
  260,20180106,   89
  260,20180107,   77
  260,20180108,   77
  260,20180109,   89
  260,20180110,   94
  260,20180111,   97
  260,20180112,   94
  260,20180113,   90
  260,20180114,   82
  260,20180115,   89
  260,20180116,   78
  260,20180117,   73
  260,20180118,   85
  260,20180119,   85
  260,20180120,   93
  260,20180121,   85
  260,20180122,   88
  260,20180123,   88
  260,20180124,   84
  260,20180125,   88
  260,20180126,   95
  260,20180127,   83
  260,20180128,   90
  260,20180129,   84
  260,20180130,   86
  260,20180131,   84
  260,20180201,   87
  260,20180202,   87
  260,20180203,   90
  260,20180204,   76
  260,20180205,   81
  260,20180206,   76
  260,20180207,   76
  260,20180208,   79
  260,20180209,   79
  260,20180210,   84
  260,20180211,   80
  260,20180212,   74
  260,20180213,   71
  260,20180214,   65
  260,20180215,   88
  260,20180216,   79
  260,20180217,   82
  260,20180218,   87
  260,20180219,   84
  260,20180220,   82
  260,20180221,   77
  260,20180222,   71
  260,20180223,   71
  260,20180224,   55
  260,20180225,   56
  260,20180226,   67
  260,20180227,   70
  260,20180228,   69
  260,20180301,   50
  260,20180302,   52
  260,20180303,   64
  260,20180304,   78
  260,20180305,   80
  260,20180306,   82
  260,20180307,   87
  260,20180308,   84
  260,20180309,   82
  260,20180310,   89
  260,20180311,   91
  260,20180312,   85
  260,20180313,   92
  260,20180314,   80
  260,20180315,   70
  260,20180316,   87
