# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI);
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.;
# ;
# ;
# STN      LON(east)   LAT(north)     ALT(m)  NAME;
# 260:         5.180       52.100       1.90  DE BILT;
# ;
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# TN       = Minimum temperatuur (in 0.1 graden Celsius);
# ;
# STN,YYYYMMDD,   TN;
# ;
  260,20000201,   76;
  260,20000202,   60;
  260,20000203,   34;
  260,20000204,   56;
  260,20000205,   61;
  260,20000206,   54;
  260,20000207,   63;
  260,20000208,   63;
  260,20000209,   49;
  260,20000210,   35;
  260,20000211,    5;
  260,20000212,   21;
  260,20000213,   15;
  260,20000214,   -8;
  260,20000215,   43;
  260,20000216,    3;
  260,20000217,    9;
  260,20000218,    8;
  260,20000219,   13;
  260,20000220,  -28;
  260,20000221,  -37;
  260,20000222,   -7;
  260,20000223,  -15;
  260,20000224,   43;
  260,20000225,   29;
  260,20000226,   -7;
  260,20000227,    6;
  260,20000228,   53;
  260,20000229,   39;
  260,20000301,   26;
  260,20000302,   14;
  260,20000303,   33;
  260,20000304,   -2;
  260,20000305,   -4;
  260,20000306,   31;
  260,20000307,   75;
  260,20000308,   95;
  260,20000309,   64;
  260,20000310,    7;
  260,20000311,   53;
  260,20000312,   39;
  260,20000313,   39;
  260,20000314,   36;
  260,20000315,   20;
  260,20000316,   49;
  260,20000317,   47;
  260,20000318,   55;
  260,20000319,   14;
  260,20000320,  -11;
  260,20000321,   14;
  260,20000322,   -7;
  260,20000323,    9;
  260,20000324,   49;
  260,20000325,   52;
  260,20000326,   44;
  260,20000327,   32;
  260,20000328,   25;
  260,20000329,   42;
  260,20000330,   56;
  260,20000331,   46;
  260,20000401,   30;
  260,20000402,   47;
  260,20000403,   68;
  260,20000404,   47;
  260,20000405,   17;
  260,20000406,  -20;
  260,20000407,  -13;
  260,20000408,  -22;
  260,20000409,   41;
  260,20000410,   15;
  260,20000411,  -24;
  260,20000412,   39;
  260,20000413,   34;
  260,20000414,   26;
  260,20000415,   55;
  260,20000416,   54;
  260,20000417,   67;
  260,20000418,   61;
  260,20000419,   52;
  260,20000420,   63;
  260,20000421,   99;
  260,20000422,   92;
  260,20000423,   86;
  260,20000424,   65;
  260,20000425,   68;
  260,20000426,  102;
  260,20000427,  108;
  260,20000428,   84;
  260,20000429,  106;
  260,20000430,  109;
  260,20000501,   96;
  260,20000502,   91;
  260,20000503,  100;
  260,20000504,  104;
  260,20000505,   89;
  260,20000506,  123;
  260,20000507,  134;
  260,20000508,  104;
  260,20000509,  136;
  260,20000510,  132;
  260,20000511,  131;
  260,20000512,  113;
  260,20000513,  112;
  260,20000514,   87;
  260,20000515,  107;
  260,20000516,  124;
  260,20000517,  105;
  260,20000518,   82;
  260,20000519,   63;
  260,20000520,   54;
  260,20000521,   56;
  260,20000522,   64;
  260,20000523,   68;
  260,20000524,  115;
  260,20000525,  103;
  260,20000526,   82;
  260,20000527,  102;
  260,20000528,   70;
  260,20000529,   54;
  260,20000530,   36;
  260,20000531,   38;
  260,20000601,  104;
  260,20000602,  111;
  260,20000603,   99;
  260,20000604,   87;
  260,20000605,   71;
  260,20000606,  101;
  260,20000607,   60;
  260,20000608,   55;
  260,20000609,  137;
  260,20000610,  108;
  260,20000611,   82;
  260,20000612,  109;
  260,20000613,  141;
  260,20000614,  151;
  260,20000615,   88;
  260,20000616,   60;
  260,20000617,   60;
  260,20000618,   87;
  260,20000619,  174;
  260,20000620,  178;
  260,20000621,  162;
  260,20000622,  134;
  260,20000623,  121;
  260,20000624,  114;
  260,20000625,  104;
  260,20000626,   71;
  260,20000627,   50;
  260,20000628,   61;
  260,20000629,   83;
  260,20000630,   55;
  260,20000701,   85;
  260,20000702,  141;
  260,20000703,  131;
  260,20000704,  122;
  260,20000705,  143;
  260,20000706,  132;
  260,20000707,  105;
  260,20000708,   64;
  260,20000709,  126;
  260,20000710,  120;
  260,20000711,  117;
  260,20000712,   95;
  260,20000713,  114;
  260,20000714,  104;
  260,20000715,  106;
  260,20000716,  125;
  260,20000717,  120;
  260,20000718,  125;
  260,20000719,  108;
  260,20000720,   91;
  260,20000721,  112;
  260,20000722,  105;
  260,20000723,  136;
  260,20000724,  146;
  260,20000725,  142;
  260,20000726,  136;
  260,20000727,  101;
  260,20000728,  115;
  260,20000729,  117;
  260,20000730,  109;
  260,20000731,  116;
  260,20000801,  153;
  260,20000802,  134;
  260,20000803,  131;
  260,20000804,  106;
  260,20000805,  117;
  260,20000806,  105;
  260,20000807,  153;
  260,20000808,  130;
  260,20000809,  107;
  260,20000810,  168;
  260,20000811,  128;
  260,20000812,   97;
  260,20000813,  119;
  260,20000814,  178;
  260,20000815,  117;
  260,20000816,  125;
  260,20000817,  115;
  260,20000818,  109;
  260,20000819,  141;
  260,20000820,  123;
  260,20000821,  107;
  260,20000822,   86;
  260,20000823,   95;
  260,20000824,   74;
  260,20000825,   97;
  260,20000826,  126;
  260,20000827,  128;
  260,20000828,   93;
  260,20000829,   87;
  260,20000830,   68;
  260,20000831,   77;
  260,20000901,  113;
  260,20000902,  124;
  260,20000903,  123;
  260,20000904,  106;
  260,20000905,   92;
  260,20000906,  132;
  260,20000907,  148;
  260,20000908,  151;
  260,20000909,  137;
  260,20000910,  116;
  260,20000911,  124;
  260,20000912,  142;
  260,20000913,  104;
  260,20000914,   94;
  260,20000915,  117;
  260,20000916,  121;
  260,20000917,   88;
  260,20000918,  122;
  260,20000919,  130;
  260,20000920,  131;
  260,20000921,  105;
  260,20000922,   90;
  260,20000923,  122;
  260,20000924,   97;
  260,20000925,  114;
  260,20000926,  131;
  260,20000927,  139;
  260,20000928,  146;
  260,20000929,  145;
  260,20000930,  129;
  260,20001001,  103;
  260,20001002,   97;
  260,20001003,   79;
  260,20001004,   92;
  260,20001005,   84;
  260,20001006,   49;
  260,20001007,   39;
  260,20001008,   55;
