LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
AUS;GDP;TOT;USD_CAP;A;1960;2409195491;
AUS;GDP;TOT;USD_CAP;A;1961;2379705491;
AUS;GDP;TOT;USD_CAP;A;1962;2573580478;
AUS;GDP;TOT;USD_CAP;A;1963;2748475664;
AUS;GDP;TOT;USD_CAP;A;1964;2898460541;
AUS;GDP;TOT;USD_CAP;A;1965;2997714205;
AUS;GDP;TOT;USD_CAP;A;1966;3270894847;
AUS;GDP;TOT;USD_CAP;A;1967;3442171342;
AUS;GDP;TOT;USD_CAP;A;1968;3827600452;
AUS;GDP;TOT;USD_CAP;A;1969;420174299;
AUS;GDP;TOT;USD_CAP;A;1970;4639342662;
AUS;GDP;TOT;USD_CAP;A;1971;4850462534;
AUS;GDP;TOT;USD_CAP;A;1972;5196219988;
AUS;GDP;TOT;USD_CAP;A;1973;5780332232;
AUS;GDP;TOT;USD_CAP;A;1974;6229332791;
AUS;GDP;TOT;USD_CAP;A;1975;6920647946;
AUS;GDP;TOT;USD_CAP;A;1976;7377136633;
AUS;GDP;TOT;USD_CAP;A;1977;7707309245;
AUS;GDP;TOT;USD_CAP;A;1978;8530852646;
AUS;GDP;TOT;USD_CAP;A;1979;9431085927;
AUS;GDP;TOT;USD_CAP;A;1980;1045007421;
AUS;GDP;TOT;USD_CAP;A;1981;1192442216;
AUS;GDP;TOT;USD_CAP;A;1982;1195906209;
AUS;GDP;TOT;USD_CAP;A;1983;1274259392;
AUS;GDP;TOT;USD_CAP;A;1984;1355888719;
AUS;GDP;TOT;USD_CAP;A;1985;1449543076;
AUS;GDP;TOT;USD_CAP;A;1986;1492138579;
AUS;GDP;TOT;USD_CAP;A;1987;1603794566;
AUS;GDP;TOT;USD_CAP;A;1988;1707350988;
AUS;GDP;TOT;USD_CAP;A;1989;1779014102;
AUS;GDP;TOT;USD_CAP;A;1990;1778532815;
AUS;GDP;TOT;USD_CAP;A;1991;1813243296;
AUS;GDP;TOT;USD_CAP;A;1992;1910904816;
AUS;GDP;TOT;USD_CAP;A;1993;2013347355;
AUS;GDP;TOT;USD_CAP;A;1994;2136480858;
AUS;GDP;TOT;USD_CAP;A;1995;2237299337;
AUS;GDP;TOT;USD_CAP;A;1996;2323466723;
AUS;GDP;TOT;USD_CAP;A;1997;2441368059;
AUS;GDP;TOT;USD_CAP;A;1998;2565693175;
AUS;GDP;TOT;USD_CAP;A;1999;2709822128;
AUS;GDP;TOT;USD_CAP;A;2000;28260391;
AUS;GDP;TOT;USD_CAP;A;2001;2945358552;
AUS;GDP;TOT;USD_CAP;A;2002;307409629;
AUS;GDP;TOT;USD_CAP;A;2003;3220398217;
AUS;GDP;TOT;USD_CAP;A;2004;3388662449;
AUS;GDP;TOT;USD_CAP;A;2005;3557080802;
AUS;GDP;TOT;USD_CAP;A;2006;3786257061;
AUS;GDP;TOT;USD_CAP;A;2007;3961285651;
AUS;GDP;TOT;USD_CAP;A;2008;4009483321;
AUS;GDP;TOT;USD_CAP;A;2009;4161363616;
AUS;GDP;TOT;USD_CAP;A;2010;4281213612;
AUS;GDP;TOT;USD_CAP;A;2011;4441930975;
AUS;GDP;TOT;USD_CAP;A;2012;4387918036;
AUS;GDP;TOT;USD_CAP;A;2013;4776121406;
AUS;GDP;TOT;USD_CAP;A;2014;4763863344;
AUS;GDP;TOT;USD_CAP;A;2015;4735104729;
AUS;GDP;TOT;USD_CAP;A;2016;5026260644;
AUT;GDP;TOT;USD_CAP;A;1970;382361049;E
AUT;GDP;TOT;USD_CAP;A;1971;4203710914;E
AUT;GDP;TOT;USD_CAP;A;1972;4631120403;E
AUT;GDP;TOT;USD_CAP;A;1973;5095273075;E
AUT;GDP;TOT;USD_CAP;A;1974;5762932267;E
AUT;GDP;TOT;USD_CAP;A;1975;6290473623;E
AUT;GDP;TOT;USD_CAP;A;1976;695234804;E
AUT;GDP;TOT;USD_CAP;A;1977;7756466328;E
AUT;GDP;TOT;USD_CAP;A;1978;8291264657;E
AUT;GDP;TOT;USD_CAP;A;1979;9476283505;E
AUT;GDP;TOT;USD_CAP;A;1980;1051117056;E
AUT;GDP;TOT;USD_CAP;A;1981;1145989211;E
AUT;GDP;TOT;USD_CAP;A;1982;1240373833;E
AUT;GDP;TOT;USD_CAP;A;1983;1329424904;E
AUT;GDP;TOT;USD_CAP;A;1984;1378179818;E
AUT;GDP;TOT;USD_CAP;A;1985;1456605455;E
AUT;GDP;TOT;USD_CAP;A;1986;1519171361;E
AUT;GDP;TOT;USD_CAP;A;1987;1576862018;E
AUT;GDP;TOT;USD_CAP;A;1988;1683903959;E
AUT;GDP;TOT;USD_CAP;A;1989;1809767958;E
AUT;GDP;TOT;USD_CAP;A;1990;1944231714;E
AUT;GDP;TOT;USD_CAP;A;1991;2058501539;E
AUT;GDP;TOT;USD_CAP;A;1992;2125963677;E
AUT;GDP;TOT;USD_CAP;A;1993;2169832103;E
AUT;GDP;TOT;USD_CAP;A;1994;226068345;E
AUT;GDP;TOT;USD_CAP;A;1995;2366040198;
AUT;GDP;TOT;USD_CAP;A;1996;2452920805;
AUT;GDP;TOT;USD_CAP;A;1997;2542406297;
AUT;GDP;TOT;USD_CAP;A;1998;2667459686;
AUT;GDP;TOT;USD_CAP;A;1999;2760648424;
AUT;GDP;TOT;USD_CAP;A;2000;2938007482;
